POINT_X,POINT_Y
-118.98823,36.059865
-118.98926,36.056488
-118.9994017,36.0559328
-119.048342,36.100204
-118.998573,36.057161
-118.9960446,36.0566735
-118.994457,36.0560059
-118.99569,36.05802
-118.998445,36.056005
-118.996777,36.056401
-118.95944,36.044013
-119.3362537,36.3255547
-119.336356,36.493051
-119.0258548,36.3853816
-119.0248685,36.3827382
-119.025404,36.3849189
-118.9782364,36.0586184
-119.018511,36.4001019
-119.066172,36.358904
-119.0692182,36.3577042
-119.018511,36.4001019
-119.025411,36.385727
-119.0211004,36.3961604
-119.002906,36.058001
-118.980677,36.052949
-118.9866856,36.0597926
-118.980357,36.056662
-119.1313378,36.0947311
-118.935423,36.047795
-119.0082,36.085393
-118.986968,36.055134
-118.98737,36.060437
-119.255255,36.211141
-118.9941751,36.0566904
-118.9913918,36.0575212
-118.986061,36.061942
-119.0090709,36.0394228
-118.984112,36.059066
-118.98346,36.060374
-118.9815304,36.055149
-119.058411,36.092818
-118.9705418,36.0586878
-118.9633727,36.055068
-118.955406,36.053727
-118.921277,36.052978
-118.993001,36.05674
-118.9618473,36.0475862
-118.9858561,36.0574578
-118.983072,36.0598299
-118.979416,36.05586
-118.988231,36.060288
-118.995997,36.0569429
-119.059255,36.102949
-118.9694753,36.0550623
-118.961615,36.053325
-119.052925,36.121849
-118.9891148,36.0574139
-118.9770336,36.0560198
-119.005291,36.029961
-118.971835,36.057263
-118.999916,36.0558229
-119.048601,36.099581
-119.048113,35.892936
-119.335598,36.486719
-118.979052,36.058056
-119.048601,36.099581
-119.251938,36.487081
-118.993018,36.056896
-119.2600663,36.5637824
-119.067687,36.12322
-118.9815304,36.055149
-119.359215,36.501503
-118.984673,36.053523
-119.033848,36.035492
-119.338661,36.311559
-119.330034,36.539142
-119.032526,36.084153
-119.0491112,36.0989093
-118.882073,36.071795
-118.9861187,36.0562533
-119.3210393,36.4942951
-119.286868,36.323545
-118.9869288,36.06216
-119.292896,36.375821
-119.271917,36.565272
-119.049239,36.099995
-119.337593,36.310836
-119.338652,36.310833
-119.3163009,36.269802
-119.3163066,36.270614
-119.084298,36.3252263
-119.064785,36.359395
-119.458054,36.352022
-119.336982,36.493603
-119.281202,36.541511
-119.26955,36.551917
-119.338702,36.310242
-119.1166337,36.4101594
-119.2856372,36.5345461
-119.011459,36.053135
-119.30428,36.544617
-119.251938,36.487081
-118.9995856,36.0617499
-119.261947,36.51929
-119.252211,36.560588
-119.025414,36.3860219
-119.2856372,36.5345461
-119.129873,36.37943
-119.463388,36.3496
-118.9850016,36.0543498
-119.045578,36.156201
-119.298155,36.5448996
-119.190993,36.388467
-119.247347,36.4843509
-119.04921,36.098752
-119.250563,36.256839
-119.0623,36.102544
-118.9866856,36.0597926
-119.049215,36.098922
-119.049291,36.101439
-119.068427,36.220543
-119.068989,36.220192
-119.469409,36.350057
-119.251938,36.487081
-119.3502602,36.2982293
-119.068139,36.220175
-118.964389,36.055319
-119.068421,36.220173
-118.9869807,36.0597946
-119.090042,36.245689
-119.0916843,36.2245663
-119.1363301,36.253002
-119.356464,36.29874
-119.237292,36.19865
-119.4643782,36.2474655
-119.300178,36.285638
-119.228628,36.297271
-118.964628,36.055614
-119.049227,36.099562
-119.049742,36.101794
-118.9982061,36.0584602
-119.4213205,36.1834251
-118.9864137,36.062165
-118.999217,36.055265
-118.986748,36.053748
-118.9850157,36.0537037
-119.420883,36.181035
-119.355582,36.299827
-118.996192,36.0623829
-119.449428,36.496179
-118.995889,36.061986
-118.984112,36.059066
-118.9977758,36.062237
-118.998216,36.0566483
-118.997661,36.055275
-119.33491,36.493497
-119.271013,36.545046
-119.067143,36.359876
-119.0489785,36.1016179
-119.206903,36.544809
-119.012648,36.053709
-119.0703171,36.3586687
-119.169629,36.308697
-119.020191,36.397355
