YEAR,STATE,FIPS,TP-TotPop,TO-WGWTo,TO-WTotl,pcnt_groundwater
2010,AK,02282,0.662,63.98,92.58,0.691077986606178
2010,AK,02290,5.588,0.48,1.77,0.271186440677966
2010,AZ,04001,71.518,41.94,48.96,0.856617647058823
2010,AZ,04003,131.346,238.37,238.4,0.999874161073826
2010,AZ,04005,134.421,21.51,52.18,0.412226906860866
2010,AZ,04007,53.597,34.24,34.69,0.987027961948688
2010,AZ,04009,37.22,95.78,176.21,0.543555984336871
2010,AZ,04011,8.437,12.93,25.89,0.499420625724218
2010,AZ,04012,20.489,55.78,668.84,0.0833981221218827
2010,AZ,04013,3817.354,1063.8,1953.58,0.544538744254139
2010,AZ,04015,200.209,67.4,121.16,0.556289204357874
2010,AZ,04017,107.449,53.76,61.66,0.871878040869283
2010,AZ,04019,980.263,269.5,305.43,0.88236257080182
2010,AZ,04021,375.826,320.63,1130.08,0.283723276228232
2010,AZ,04023,47.42,17.44,17.44,1
2010,AZ,04025,211.033,73.33,92.29,0.794560624119623
2010,AZ,04027,195.751,183.01,1161.35,0.157583846385672
2010,AR,05001,19.019,540.08,939.73,0.574718270141424
2010,AR,05003,21.853,139.18,205.15,0.678430416768218
2010,AR,05005,41.513,1.37,4.84,0.283057851239669
2010,AR,05007,221.339,5.69,402.47,0.0141376997043258
2010,AR,05009,36.903,1.8,2.8,0.642857142857143
2010,AR,05011,11.508,1.98,2.07,0.956521739130435
2010,AR,05013,5.368,0.63,0.65,0.969230769230769
2010,AR,05015,27.446,1.77,10.71,0.165266106442577
2010,AR,05017,11.8,203.61,273.05,0.745687603003113
2010,AR,05019,22.995,0.61,11.62,0.0524956970740103
2010,AR,05021,16.083,399.81,407.5,0.981128834355828
2010,AR,05023,25.97,0.37,25.95,0.0142581888246628
2010,AR,05025,8.689,1.16,1.43,0.811188811188811
2010,AR,05027,24.552,9.47,11.25,0.841777777777778
2010,AR,05029,21.273,1.66,29.16,0.0569272976680384
2010,AR,05031,96.443,372.58,422.73,0.881366356776193
2010,AR,05033,61.948,0.87,34.73,0.0250503887129283
2010,AR,05035,50.902,218.21,219.74,0.993037225812324
2010,AR,05037,17.87,523.74,561.71,0.932402841323815
2010,AR,05039,8.116,0.78,0.8,0.975
2010,AR,05041,13.008,371.21,483.99,0.766978656583814
2010,AR,05043,18.509,33.44,37.25,0.897718120805369
2010,AR,05045,113.237,4.53,8.78,0.515945330296128
2010,AR,05047,18.125,0.48,11.14,0.0430879712746858
