STATE,FIPS,TP-TotPop,TO-WGWTo,TO-WTotl
AL,01001,48.612,8.09,43.66
AL,01003,162.586,61.67,69.01
AL,01005,28.414,7.51,16.49
AL,01007,21.516,4.52,4.98
AL,01009,55.725,4.54,18.95
AL,01011,11.055,3.73,5.44
AL,01013,20.766,3.68,4.39
AL,01015,112.141,21.99,28.95
AL,01017,35.46,0.82,8.4
AL,01019,24.522,3.22,7.2
AL,01021,41.744,4.1,6.25
AL,01023,14.807,1.97,49.57
AL,01025,27.269,2.88,4.9
AL,01027,13.964,0.53,2.7
AL,01029,14.46,1.6,2.37
AL,01031,45.567,9.4,12.95
AL,01033,54.66,3.56,1363.16
AL,01035,13.257,2.19,2.37
AL,01037,11.162,0.43,1.0
AL,01039,37.003,8.34,13.54
AL,01041,13.727,2.51,3.23
AL,01043,79.886,2.99,32.66
AL,01045,48.748,9.9,12.23
AL,01047,44.366,13.9,17.78
AL,01049,67.271,5.3,16.43
AL,01051,73.937,3.19,14.82
AL,01053,38.082,9.81,42.84
AL,01055,103.189,5.19,173.86
AL,01057,18.228,0.58,3.93
AL,01059,30.737,2.38,7.1
AL,01061,25.735,4.84,7.61
AL,01063,9.661,7.71,398.58
AL,01065,18.316,19.7,28.39
AL,01067,16.61,4.09,5.82
AL,01069,94.249,24.0,131.78
AL,01071,53.65,1.98,1498.24
AL,01073,657.229,11.18,81.01
AL,01075,14.962,1.91,2.25
AL,01077,87.691,3.67,17.17
AL,01079,34.605,1.42,67.43
AL,01081,123.254,2.23,21.51
AL,01083,70.469,7.89,2013.88
AL,01085,13.076,2.16,5.97
AL,01087,22.81,4.75,9.94
AL,01089,298.192,27.06,70.51
AL,01091,21.879,6.61,26.79
AL,01093,30.154,1.79,7.84
AL,01095,85.634,4.51,27.06
AL,01097,401.427,20.77,1130.94
AL,01099,23.733,5.18,60.01
AL,01101,221.619,31.75,69.73
AL,01103,113.74,2.46,124.8
AL,01105,11.371,7.58,12.39
AL,01107,20.178,4.44,5.67
AL,01109,29.639,5.79,6.99
AL,01111,22.717,0.78,2.78
AL,01113,49.326,2.75,43.72
AL,01115,72.33,9.6,21.01
AL,01117,171.465,20.54,833.25
AL,01119,13.819,5.81,10.27
AL,01121,80.457,9.93,78.28
AL,01123,40.717,0.36,14.64
AL,01125,168.908,2.96,36.02
AL,01127,70.117,1.14,969.46
AL,01129,17.773,8.14,99.17
AL,01131,12.937,2.12,23.65
AL,01133,24.498,0.72,1.92
AK,02013,2.659,0.02,3.39
AK,02016,5.249,0.05,4.75
AK,02020,278.241,27.77,107.7
AK,02050,17.085,0.42,0.45
AK,02060,1.073,0.17,0.17
AK,02068,1.823,1.22,16.22
AK,02070,4.792,0.83,0.83
AK,02090,87.65,11.13,38.26
AK,02100,2.207,0.35,3.54
AK,02110,31.193,415.29,603.66
AK,02122,51.224,8.14,27.35
AK,02130,13.125,0.15,14.25
AK,02150,13.638,0.24,9.44
AK,02164,1.62,0.07,0.43
AK,02170,74.041,5.73,6.66
AK,02180,9.452,0.46,0.63
AK,02185,6.894,114.47,175.72
AK,02188,7.323,0.05,8.04
AK,02201,5.497,0.03,1.98
AK,02220,8.947,0.03,9.06
AK,02232,3.062,0.58,0.72
AK,02240,6.471,0.62,0.67
AK,02261,10.042,8.06,13.08
AK,02270,7.496,0.16,0.46
AK,02280,6.172,0.17,6.35
AK,02282,0.619,0.56,0.59
AK,02290,6.061,0.21,0.66
AZ,04001,69.343,26.69,35.24
AZ,04003,126.106,249.64,254.42
AZ,04005,123.866,17.85,47.99
AZ,04007,51.663,27.4,28.03
AZ,04009,33.073,74.8,172.92
AZ,04011,7.521,15.53,31.55
AZ,04012,20.238,79.99,628.49
AZ,04013,3635.528,1184.12,1966.99
AZ,04015,187.2,71.91,138.64
AZ,04017,108.432,58.57,67.48
AZ,04019,924.786,286.35,306.76
AZ,04021,229.549,699.13,1289.19
AZ,04023,42.009,19.38,19.38
AZ,04025,198.701,60.84,91.5
AZ,04027,181.277,174.26,1166.12
AR,05001,20.073,509.3,966.4
AR,05003,23.178,156.3,232.27
AR,05005,40.33,1.95,5.83
AR,05007,186.938,2.87,440.9
AR,05009,35.793,1.91,3.1
AR,05011,12.192,1.78,1.86
AR,05013,5.589,0.53,0.57
AR,05015,26.999,2.77,11.49
AR,05017,13.027,249.53,319.92
AR,05019,22.916,0.51,6.58
AR,05021,16.578,469.08,478.7
AR,05023,25.391,0.41,8.59
AR,05025,8.903,0.73,0.93
AR,05027,24.695,3.64,5.87
AR,05029,20.739,2.51,19.41
AR,05031,86.735,365.03,409.71
AR,05033,57.63,0.94,8.55
AR,05035,51.882,159.51,160.48
AR,05037,19.237,599.29,644.3
AR,05039,8.524,1.47,1.5
AR,05041,14.358,304.34,413.61
AR,05043,18.693,77.4,89.56
AR,05045,97.147,2.4,17.21
AR,05047,18.218,0.4,3.92
AR,05049,11.934,1.96,2.44
AR,05051,93.551,0.32,19.87
AR,05053,17.348,2.6,2.7
AR,05055,39.401,223.49,227.39
AR,05057,23.383,4.01,7.53
AR,05059,31.264,0.27,323.17
AR,05061,14.552,0.5,5.64
AR,05063,34.737,41.84,104.58
AR,05065,13.43,1.79,5.01
AR,05067,17.601,383.12,405.7
AR,05069,81.7,279.71,349.31
AR,05071,24.042,0.32,5.32
AR,05073,8.027,39.4,41.21
AR,05075,17.153,223.03,248.16
AR,05077,11.545,266.79,272.2
AR,05079,14.262,182.87,206.4
AR,05081,13.227,4.37,14.41
AR,05083,22.944,1.65,5.9
AR,05085,60.658,423.84,534.25
AR,05087,14.962,1.15,2.13
AR,05089,16.735,0.83,2.04
AR,05091,43.162,16.28,125.78
AR,05093,47.911,277.76,279.89
AR,05095,9.302,290.04,316.45
AR,05097,9.274,0.7,1.48
AR,05099,9.55,0.73,2.09
AR,05101,8.452,1.17,1.4
AR,05103,27.102,1.08,59.54
AR,05105,10.468,0.46,14.58
AR,05107,24.107,208.51,210.29
AR,05109,11.038,0.48,1.66
AR,05111,25.349,682.12,772.6
AR,05113,20.176,1.16,3.55
AR,05115,56.58,1.99,1164.75
AR,05117,9.113,253.58,355.76
AR,05119,366.463,26.27,83.99
AR,05121,18.465,102.51,141.39
AR,05123,27.902,295.73,313.4
AR,05125,91.188,2.29,9.27
AR,05127,11.15,2.35,2.8
AR,05129,7.969,0.29,0.99
AR,05131,118.75,0.94,39.4
AR,05133,16.456,1.74,2.56
AR,05135,17.397,4.31,5.29
AR,05137,11.716,0.59,2.43
AR,05139,44.186,15.55,20.74
AR,05141,16.529,0.41,3.01
AR,05143,180.357,1.32,3.8
AR,05145,71.332,48.59,91.52
AR,05147,8.098,267.0,351.47
AR,05149,21.391,2.37,9.79
CA,06001,1448.905,64.48,171.76
CA,06003,1.159,0.03,15.11
CA,06005,38.471,4.04,24.06
CA,06007,214.185,308.59,789.94
CA,06009,46.871,7.4,17.29
CA,06011,21.095,140.01,916.29
CA,06013,1017.787,58.07,1679.12
CA,06015,28.705,5.31,9.02
CA,06017,176.841,22.02,46.01
CA,06019,877.584,868.29,3260.22
CA,06021,27.759,278.77,741.2
CA,06023,128.376,46.28,137.18
CA,06025,155.823,40.76,2144.94
CA,06027,18.156,51.93,80.43
CA,06029,756.825,1143.42,2663.55
CA,06031,143.42,545.11,1380.43
CA,06033,65.147,27.16,45.22
CA,06035,34.751,79.93,246.87
CA,06037,9935.475,487.69,3811.06
CA,06039,142.788,394.33,834.79
CA,06041,246.96,4.15,36.76
CA,06043,18.069,4.69,9.24
CA,06045,88.161,23.0,58.11
CA,06047,241.706,447.77,1624.9
CA,06049,9.524,78.08,313.82
CA,06051,12.509,48.48,211.14
CA,06053,412.104,435.3,1129.19
