13013,292138095435801,17,80.20294118,79.68,80.525,0.845,1995,2010,29.36079884,-95.73300440,Point(-95.73300440 29.36079884)
24505,292146095410301,20,98.8825,96.48,109.79,13.31,1995,2015,29.36302030,-95.68439200,Point(-95.68439200 29.36302030)
869,292204095043601,11,85.79818182,95.71,72.86,-22.85,1995,2005,29.36801280,-95.07687250,Point(-95.07687250 29.36801280)
4693,292204095281301,20,89.145,89.78,87.08,-2.7,1995,2015,29.36801727,-95.47049720,Point(-95.47049720 29.36801727)
2481,292205095043701,19,82.02421053,84.44,77.78,-6.66,1995,1998,29.36829060,-95.07715030,Point(-95.07715030 29.36829060)
2239,292207094544001,21,48.37714286,57.66,50.15,-7.51,1995,2015,29.36884545,-94.91131140,Point(-94.91131140 29.36884545)
3428,292208095042701,18,71.665,74.09,69.72,-4.37,1995,2015,29.36912387,-95.07437240,Point(-95.07437240 29.36912387)
499,292211094543301,11,51.59,86,44.46,-41.54,1995,2005,29.36995654,-94.90936690,Point(-94.90936690 29.36995654)
22292,292218095390801,20,103.7005,100.76,108.79,8.03,1995,2015,29.37190850,-95.65244680,Point(-95.65244680 29.37190850)
1666,292223094544401,11,48.05545455,55.41,44.7,-10.71,1995,2005,29.37328975,-94.91242260,Point(-94.91242260 29.37328975)
2329,292233094541501,21,46.28714286,54.76,47.59,-7.17,1995,2015,29.37606747,-94.90436680,Point(-94.90436680 29.37606747)
24534,292246095553601,21,54.88619048,52.4,65.81,13.41,1995,2015,29.37968926,-95.92689870,Point(-95.92689870 29.37968926)
1674,292303094553201,21,53.51,60.74,50.08,-10.66,1995,2015,29.38440046,-94.92575650,Point(-94.92575650 29.38440046)
1592,292305094554801,11,59.11818182,64.03,52.79,-11.24,1995,2005,29.38495599,-94.93020110,Point(-94.93020110 29.38495599)
1443,292314094563001,21,41.4752381,50.11,37.37,-12.74,1995,2015,29.38745587,-94.94186820,Point(-94.94186820 29.38745587)
1143,292324094573801,21,54.56333333,65.87,49.28,-16.59,1995,2015,29.39023349,-94.96075780,Point(-94.96075780 29.39023349)
1070,292327094575901,15,59.802,68.66,50.815,-17.845,1995,2008,29.39106678,-94.96659130,Point(-94.96659130 29.39106678)
1257,292337094542801,20,52.177,66.46,51.53,-14.93,1995,2015,29.39384467,-94.90797830,Point(-94.90797830 29.39384467)
1482,292338095063601,39,100.6171795,105.1757143,92.83,-12.34571429,1995,2015,29.39412367,-95.11020730,Point(-95.11020730 29.39412367)
6709,292359095501601,16,68.45375,70.52,69.16,-1.36,1995,2010,29.39996557,-95.83800750,Point(-95.83800750 29.39996557)
704,292403095052601,21,96.95761905,118.19,89.64,-28.55,1995,2015,29.40106765,-95.09076220,Point(-95.09076220 29.40106765)
1367,292431094555601,10,52.357,60.77,47.25,-13.52,1995,2005,29.40884410,-94.93242370,Point(-94.93242370 29.40884410)
2995,292439094553101,21,52.50904762,55.58,50.36,-5.22,1995,2015,29.41106628,-94.92547900,Point(-94.92547900 29.41106628)
839,292440095053801,11,97.97909091,111.25,87.57,-23.68,1995,2005,29.41134520,-95.09409580,Point(-95.09409580 29.41134520)
1038,292443095045201,21,96.31666667,109.99,91.52,-18.47,1995,2015,29.41217830,-95.08131760,Point(-95.08131760 29.41217830)
20082,292456095560101,21,50.41333333,48.86,54.1,5.24,1995,2015,29.41579940,-95.93384350,Point(-95.93384350 29.41579940)
2678,292458094534201,218,24.35247706,27.19916667,21.165,-6.034166667,1995,2015,29.41634400,-94.89520030,Point(-94.89520030 29.41634400)
4621,292458094534202,79,31.36468354,32.65857143,29.905,-2.753571429,2005,2015,29.41634400,-94.89520030,Point(-94.89520030 29.41634400)
2223,292458094534203,215,36.292,40.41833333,32.835,-7.583333333,1995,2015,29.41634400,-94.89520030,Point(-94.89520030 29.41634400)
1965,292458094534204,216,49.96375,54.12583333,45.2,-8.925833333,1995,2015,29.41634400,-94.89520030,Point(-94.89520030 29.41634400)
2447,292458094534205,215,51.02013953,54.93083333,48.19,-6.740833333,1995,2015,29.41634400,-94.89520030,Point(-94.89520030 29.41634400)
2416,292458094534206,258,49.41976744,54.015,47.126,-6.889,1995,2015,29.41634400,-94.89497810,Point(-94.89497810 29.41634400)
3869,292458094534207,213,11.87276995,13.985,10.37,-3.615,1995,2015,29.41634400,-94.89520030,Point(-94.89520030 29.41634400)
19141,292459095451901,21,42.69380952,41.13,45.53,4.4,1995,2015,29.41663096,-95.75550520,Point(-95.75550520 29.41663096)
27857,292505098254002,104,-50.62769231,-60.17333333,-21.4,38.77333333,2002,2014,29.41828900,-98.42807100,Point(-98.42807100 29.41828900)
4,292519099531701,13,177.8984615,433.79,115.055,-318.735,1999,2003,29.42217737,-98.88836130,Point(-98.88836130 29.42217737)
11595,292527095561701,11,50.79181818,49.94,50.31,0.37,1995,2005,29.42441030,-95.93828800,Point(-95.93828800 29.42441030)
11788,292530095560701,11,50.66272727,49.93,50.37,0.44,1995,2005,29.42524360,-95.93551020,Point(-95.93551020 29.42524360)
707,292533095052701,11,99.78090909,117.68,89.23,-28.45,1995,2005,29.42606697,-95.09104040,Point(-95.09104040 29.42606697)
1919,292534095044501,21,93.9947619,99.28,90.1,-9.18,1995,2015,29.42634456,-95.07937330,Point(-95.07937330 29.42634456)
1012,292536099041001,55,148.1249091,155.6012121,136.6355556,-18.96565657,2002,2004,29.42673610,-99.06940830,Point(-99.06940830 29.42673610)
2825,292542095082301,36,113.0913889,114.22,108.61,-5.61,1995,1998,29.42856768,-95.13993090,Point(-95.13993090 29.42856768)
1336,292548094565601,21,42.36952381,48.38,34.45,-13.93,1995,2015,29.43022220,-94.94936110,Point(-94.94936110 29.43022220)
28218,292556098260701,126,-28.5018254,-47.275,1.88,49.155,2002,2014,29.43245515,-98.43557130,Point(-98.43557130 29.43245515)
1199,292603095150901,20,157.3885,163.86,148.11,-15.75,1995,2015,29.43463610,-95.25322220,Point(-95.25322220 29.43463610)
21379,292605095571301,21,48.18333333,46.27,53.05,6.78,1995,2015,29.43496574,-95.95384400,Point(-95.95384400 29.43496574)
5897,292611095563901,11,55.41,55.79,53.97,-1.82,1995,2005,29.43663226,-95.94439930,Point(-95.94439930 29.43663226)
3773,292617095065501,11,108.9109091,113.27,109.48,-3.79,1995,2005,29.43828926,-95.11548570,Point(-95.11548570 29.43828926)
28831,292618099165901,95,144.3187368,127.4733333,240.3442857,112.8709524,1999,2015,29.43856519,-99.28337380,Point(-99.28337380 29.43856519)
725,292619095060601,21,99.92238095,120.35,92.77,-27.58,1995,2015,29.43884458,-95.10187420,Point(-95.10187420 29.43884458)
575,292701099113901,16,146.321875,150.98,114.43,-36.55,1999,2003,29.45050939,-99.19448220,Point(-99.19448220 29.45050939)
874,292740099070201,15,123.1786667,124,101.3966667,-22.60333333,1999,2003,29.46134266,-99.11753520,Point(-99.11753520 29.46134266)
824,292750099224501,10,308.013,298.875,274.67,-24.205,1999,2003,29.46662029,-99.38421000,Point(-99.38421000 29.46662029)
1645,292841094584901,12,74.31333333,81,70.17,-10.83,1998,2014,29.48071667,-94.98351670,Point(-94.98351670 29.48071667)
940,292843099040201,45,180.1691111,188.3228571,167.6414286,-20.68142857,2002,2004,29.47873610,-99.06716940,Point(-99.06716940 29.47873610)
25109,292845098255401,78,54.32205128,53.63666667,69.245,15.60833333,1999,2006,29.47912015,-98.43279370,Point(-98.43279370 29.47912015)
1414,292848094590001,15,78.94466667,86,73,-13,1995,2014,29.47825000,-94.98075000,Point(-94.98075000 29.47825000)
848,292859095380501,17,144.4705882,138.5,115,-23.5,1995,2015,29.48329448,-95.63494680,Point(-95.63494680 29.48329448)
1689,292900094585501,15,79.32666667,84,73.45,-10.55,1995,2014,29.48343333,-94.98261670,Point(-94.98261670 29.48343333)
1697,292903095375501,19,119.2105263,125.5,115,-10.5,1995,2015,29.48440554,-95.63216890,Point(-95.63216890 29.48440554)
2579,292913094584301,15,81.63866667,84,77.61,-6.39,1995,2014,29.48703333,-94.97868330,Point(-94.97868330 29.48703333)
27752,292927095195801,20,98.648,91.68,128.45,36.77,1995,2015,29.49127778,-95.33319440,Point(-95.33319440 29.49127778)
10137,292929098561801,39,126.9661538,126.5852632,126.5333333,-0.051929825,2002,2004,29.49144167,-98.93826670,Point(-98.93826670 29.49144167)
517,292930099072501,19,142.8463158,151.91,111.4566667,-40.45333333,1996,2003,29.49326389,-99.12483330,Point(-99.12483330 29.49326389)
723,292935094583301,11,88.14363636,103,75.29,-27.71,1998,2014,29.49251667,-94.97756670,Point(-94.97756670 29.49251667)
21394,292936096012701,20,48.656,46.49,53.29,6.8,1995,2015,29.49376110,-96.02403060,Point(-96.02403060 29.49376110)
7711,292938098370901,22,94.56636364,101.93,101.06,-0.87,2009,2012,29.49381389,-98.61907500,Point(-98.61907500 29.49381389)
1607,292941094563001,18,60.10333333,67.24,56.15,-11.09,1997,2015,29.49495244,-94.94186960,Point(-94.94186960 29.49495244)
12029,292943098354401,22,147.5622727,148.78,149.3,0.52,2008,2012,29.49527778,-98.59555560,Point(-98.59555560 29.49527778)
18883,292943098354402,36,170.5547222,161.8066667,165.97,4.163333333,2008,2011,29.49527778,-98.59555560,Point(-98.59555560 29.49527778)
17131,292943098354403,40,171.8325,162.7566667,165.62,2.863333333,2008,2011,29.49527778,-98.59555560,Point(-98.59555560 29.49527778)
26407,292943098354404,46,179.4580435,169.845,192.29,22.445,2008,2015,29.49527778,-98.59555560,Point(-98.59555560 29.49527778)
24542,292944095550101,21,93.58809524,86.8,100.24,13.44,1995,2015,29.49579699,-95.91717650,Point(-95.91717650 29.49579699)
23553,292951095335201,21,82.47380952,76.3,86.93,10.63,1995,2014,29.49773780,-95.56466730,Point(-95.56466730 29.49773780)
25777,293001095274601,16,109.44625,106.74,125.445,18.705,1995,2014,29.50051450,-95.46299770,Point(-95.46299770 29.50051450)
1271,293004095054601,10,121.688,127.19,112.44,-14.75,1995,2005,29.50134280,-95.09631920,Point(-95.09631920 29.50134280)
427,293005095151801,20,148.9815,166.74,118.05,-48.69,1995,2015,29.51472220,-95.25513890,Point(-95.25513890 29.51472220)
19705,293007096002001,20,49.8,48.85,53.76,4.91,1995,2015,29.50218648,-96.00579000,Point(-96.00579000 29.50218648)
2771,293026099585401,37,262.2875676,264.8113636,259.052,-5.759363636,2002,2004,29.50711389,-98.98155560,Point(-98.98155560 29.50711389)
26654,293058098110501,104,1.775192308,-3.294,21.07,24.364,2002,2014,29.51621690,-98.18499590,Point(-98.18499590 29.51621690)
21328,293114096001001,21,51.89142857,50.3,57.01,6.71,1995,2015,29.52079690,-96.00301220,Point(-96.00301220 29.52079690)
1040,293125099135701,51,177.025098,177.1027586,158.696,-18.40675862,2002,2004,29.52359720,-99.23248890,Point(-99.23248890 29.52359720)
894,293132095283301,17,205.7547059,209.12,186.98,-22.14,1995,2015,29.52579160,-95.47605360,Point(-95.47605360 29.52579160)
27865,293142098383201,20,141.7615,102.3233333,141.26,38.93666667,2007,2011,29.52833333,-98.64222220,Point(-98.64222220 29.52833333)
787,293148095060801,11,158.4554545,138,112.92,-25.08,1995,2007,29.53023130,-95.10243060,Point(-95.10243060 29.53023130)
2057,293156094515501,20,57.3215,61.95,53.56,-8.39,1996,2015,29.53245185,-94.86547820,Point(-94.86547820 29.53245185)
25842,293200098382801,20,169.2465,143.9633333,163.06,19.09666667,2007,2011,29.53333333,-98.64111110,Point(-98.64111110 29.53333333)
784,293202095070301,19,126.3989474,142.49,117.35,-25.14,1995,2015,29.53297220,-95.11836110,Point(-95.11836110 29.53297220)
22717,293202099063501,80,178.153125,178.7989474,187.635,8.836052632,2002,2014,29.53411853,-99.11011020,Point(-99.11011020 29.53411853)
567,293207095061501,11,143.0318182,150,113.13,-36.87,1995,2007,29.53514790,-95.10384730,Point(-95.10384730 29.53514790)
18400,293219095485701,19,155.3547368,136.53,140.3,3.77,1995,2015,29.53900000,-95.81625000,Point(-95.81625000 29.53900000)
2686,293222095020301,19,108.5884211,117.09,111.09,-6,1995,2013,29.53967440,-95.03437300,Point(-95.03437300 29.53967440)
28117,293226095471601,19,178.8142105,155.12,201.05,45.93,1995,2015,29.54066667,-95.78786110,Point(-95.78786110 29.54066667)
19784,293230098361501,20,173.6905,170.025,175,4.975,2007,2011,29.54189567,-98.60446500,Point(-98.60446500 29.54189567)
26701,293237095504801,18,160.6627778,142.145,166.915,24.77,1995,2014,29.54385010,-95.84689680,Point(-95.84689680 29.54385010)
1364,293243095165201,20,179.4395,183.78,170.22,-13.56,1995,2015,29.54600000,-95.28119440,Point(-95.28119440 29.54600000)
4384,293245095414801,18,144.8472222,139.57,136.58,-2.99,1995,2015,29.54607080,-95.69689270,Point(-95.69689270 29.54607080)
719,293247095054601,21,121.462381,140.05,112.03,-28.02,1995,2015,29.54633333,-95.09605560,Point(-95.09605560 29.54633333)
27370,293252098380801,63,186.9744444,176.966,208.0075,31.0415,1998,2015,29.54777778,-98.63555560,Point(-98.63555560 29.54777778)
15372,293305098265301,26,83.18,84.67375,86.49,1.81625,2009,2012,29.55138889,-98.44805560,Point(-98.44805560 29.55138889)
976,293306095050801,21,113.1080952,123.06,103.27,-19.79,1995,2015,29.55180556,-95.08452780,Point(-95.08452780 29.55180556)
943,293306095054101,258,118.2925581,131.0108333,110.384,-20.62683333,1995,2015,29.55209194,-95.09623600,Point(-95.09623600 29.55209194)
1116,293312095071501,11,132.7163636,137.17,120.1,-17.07,1995,2005,29.55356453,-95.12104230,Point(-95.12104230 29.55356453)
742,293315095063401,11,132.4427273,144.93,118.14,-26.79,1995,2005,29.55439767,-95.10965300,Point(-95.10965300 29.55439767)
9645,293318099140501,45,117.6371111,117.4856667,117.2875,-0.198166667,2002,2004,29.55486944,-99.23474440,Point(-99.23474440 29.55486944)
17902,293321095550901,20,62.129,59.64,63.02,3.38,1995,2014,29.56083333,-95.92166670,Point(-95.92166670 29.56083333)
18756,293338095451901,21,76.18380952,72.5,76.545,4.045,1995,2014,29.56079304,-95.75550530,Point(-95.75550530 29.56079304)
26810,293340098344701,40,213.083,213.28375,238.98,25.69625,1998,2011,29.56097220,-98.57977780,Point(-98.57977780 29.56097220)
1429,293344095082301,23,142.3817391,149.84,137,-12.84,1995,2014,29.56274167,-95.14013890,Point(-95.14013890 29.56274167)
816,293348095070601,214,130.4719626,145.5727273,121.075,-24.49772727,1995,2015,29.56356430,-95.11854230,Point(-95.11854230 29.56356430)
2913,293348095070602,194,108.7681959,111.1190909,105.75,-5.369090909,1995,2015,29.56356430,-95.11854230,Point(-95.11854230 29.56356430)
808,293348095070603,214,130.7890654,145.9909091,121.37,-24.62090909,1995,2015,29.56356430,-95.11854230,Point(-95.11854230 29.56356430)
18411,293348095070604,260,124.5733846,127.7716667,131.56,3.788333333,1995,2015,29.56364765,-95.11915340,Point(-95.11915340 29.56364765)
25633,293348098334101,38,259.0113158,263.5869565,281.58,17.99304348,1998,2011,29.56333333,-98.56138890,Point(-98.56138890 29.56333333)
744,293349095070901,255,146.2900392,163.05,136.39,-26.66,1995,2015,29.56398098,-95.11948670,Point(-95.11948670 29.56398098)
25240,293350098355801,40,249.03175,256.7166667,272.87,16.15333333,1998,2011,29.56388889,-98.59944440,Point(-98.59944440 29.56388889)
4826,293351095171602,17,179.6747059,182.58,180,-2.58,1999,2014,29.56458333,-95.28800000,Point(-95.28800000 29.56458333)
