STATE,FIPS,TP-TotPop,TO-WGWTo,TO-WTotl
AL,01001,54.571,18.38,55.55
AL,01003,182.265,57.35,64.36
AL,01005,27.457,6.71,11.05
AL,01007,22.915,6.06,7.61
AL,01009,57.322,4.04,57.08
AL,01011,10.914,2.76,3.19
AL,01013,20.947,3.73,4.52
AL,01015,118.572,22.51,29.31
AL,01017,34.215,0.95,5.4
AL,01019,25.989,3.17,5.54
AL,01021,43.643,5.35,7.32
AL,01023,13.859,2.02,42.89
AL,01025,25.833,3.06,24.31
AL,01027,13.932,0.61,2.51
AL,01029,14.972,0.91,1.79
AL,01031,49.948,10.97,14.66
AL,01033,54.428,2.07,1344.32
AL,01035,13.228,2.2,2.4
AL,01037,11.539,0.84,0.93
AL,01039,37.765,7.02,10.32
AL,01041,13.906,2.52,3.16
AL,01043,80.406,3.28,37.88
AL,01045,50.251,8.64,10.25
AL,01047,43.82,12.44,49.12
AL,01049,71.109,4.04,11.94
AL,01051,79.303,4.94,16.02
AL,01053,38.319,10.62,45.21
AL,01055,104.43,5.43,146.3
AL,01057,17.241,0.66,4.65
AL,01059,31.704,2.22,6.43
AL,01061,26.79,5.0,7.45
AL,01063,9.045,7.35,366.36
AL,01065,15.76,13.97,20.25
AL,01067,17.302,3.61,6.49
AL,01069,101.547,26.44,118.04
AL,01071,53.227,2.46,1067.46
AL,01073,658.466,10.31,81.33
AL,01075,14.564,1.94,2.08
AL,01077,92.709,4.62,17.5
AL,01079,34.339,1.62,72.81
AL,01081,140.247,2.16,18.19
AL,01083,82.782,6.51,2744.24
AL,01085,11.299,1.73,4.45
AL,01087,21.452,2.34,7.14
AL,01089,334.811,35.61,79.13
AL,01091,21.027,4.94,25.05
AL,01093,30.776,1.78,6.98
AL,01095,93.019,6.47,30.45
AL,01097,412.992,34.97,1096.73
AL,01099,23.068,4.13,50.62
AL,01101,229.363,16.27,37.63
AL,01103,119.49,1.45,123.64
AL,01105,10.591,6.7,10.83
AL,01107,19.746,3.94,6.17
AL,01109,32.899,6.03,7.8
AL,01111,22.913,1.02,2.86
AL,01113,52.947,3.06,40.68
AL,01115,83.593,11.65,18.07
AL,01117,195.085,16.41,688.57
AL,01119,13.763,4.47,8.64
AL,01121,82.291,11.62,46.0
AL,01123,41.616,0.67,12.08
AL,01125,194.656,4.03,39.23
AL,01127,67.023,1.61,954.97
AL,01129,17.581,9.1,89.63
AL,01131,11.67,1.74,22.23
AL,01133,24.484,0.94,2.17
AK,02013,3.141,0.02,3.68
AK,02016,5.561,0.05,4.96
AK,02020,291.826,16.45,46.24
AK,02050,17.013,0.44,0.48
AK,02060,0.997,0.19,0.19
AK,02068,1.826,0.8,24.17
AK,02070,4.847,0.39,0.39
AK,02090,97.581,11.43,53.62
AK,02100,2.508,30.41,44.39
