YEAR,STATE,FIPS,TP-TotPop,TO-WGWTo,TO-WTotl
2000,AL,01001,43.67,10.65,37.25
2000,AL,01003,140.42,27.04,34.63
2000,AL,01005,29.04,6.36,7.42
2000,AL,01007,20.83,4.0,4.0
2000,AL,01009,51.02,2.93,32.26
2000,AL,01011,11.71,2.59,3.14
2000,AL,01013,21.4,3.91,3.91
2000,AL,01015,112.25,21.05,24.8
2000,AL,01017,36.58,0.28,12.26
2000,AL,01019,23.99,1.39,6.24
2000,AL,01021,39.59,3.71,5.11
2000,AL,01023,15.92,1.71,51.71
2000,AL,01025,27.87,2.53,22.82
2000,AL,01027,14.25,0.57,1.67
2000,AL,01029,14.12,1.49,2.08
2000,AL,01031,43.62,11.0,12.76
2000,AL,01033,54.98,4.67,1346.03
2000,AL,01035,14.09,2.49,2.49
2000,AL,01037,12.2,0.31,0.65
2000,AL,01039,37.63,7.39,28.92
2000,AL,01041,13.66,1.95,2.31
2000,AL,01043,77.48,0.58,41.49
2000,AL,01045,49.13,7.86,8.52
2000,AL,01047,46.36,13.42,53.8
2000,AL,01049,64.45,2.39,18.08
2000,AL,01051,65.87,3.89,6.14
2000,AL,01053,38.44,8.35,42.74
2000,AL,01055,103.46,5.15,270.51
2000,AL,01057,18.5,0.78,2.85
2000,AL,01059,31.22,1.8,4.81
2000,AL,01061,25.76,2.76,3.69
2000,AL,01063,9.97,3.65,360.93
2000,AL,01065,17.18,6.01,6.01
2000,AL,01067,16.31,2.83,4.66
2000,AL,01069,88.79,23.76,129.93
2000,AL,01071,53.93,2.0,1563.33
2000,AL,01073,662.05,19.58,102.64
2000,AL,01075,15.9,1.9,2.18
2000,AL,01077,87.97,2.88,15.04
2000,AL,01079,34.8,1.11,59.87
2000,AL,01081,115.09,2.07,16.91
2000,AL,01083,65.68,3.65,2120.52
2000,AL,01085,13.47,1.88,2.43
2000,AL,01087,24.1,0.88,4.78
2000,AL,01089,276.7,31.22,53.78
2000,AL,01091,22.54,5.16,23.4
2000,AL,01093,31.21,0.61,5.57
2000,AL,01095,82.23,3.53,19.28
2000,AL,01097,399.84,39.72,1294.77
2000,AL,01099,24.32,21.44,80.51
2000,AL,01101,223.51,23.08,47.0
2000,AL,01103,111.06,4.34,161.63
2000,AL,01105,11.86,3.63,3.63
2000,AL,01107,20.95,3.01,3.37
2000,AL,01109,29.6,5.51,7.13
2000,AL,01111,22.38,0.88,2.24
2000,AL,01113,49.76,1.25,31.72
2000,AL,01115,64.74,7.61,8.12
2000,AL,01117,143.29,13.93,779.74
2000,AL,01119,14.8,2.29,2.29
2000,AL,01121,80.32,11.11,93.32
2000,AL,01123,41.48,0.33,11.3
2000,AL,01125,164.88,9.22,34.84
2000,AL,01127,70.71,1.43,692.81
2000,AL,01129,18.1,11.11,123.89
2000,AL,01131,13.18,1.18,24.25
2000,AL,01133,24.84,0.81,0.81
2000,AK,02013,2.7,0.03,3.26
2000,AK,02016,5.47,0.35,4.89
2000,AK,02020,260.28,13.32,41.85
2000,AK,02050,16.01,0.22,0.24
2000,AK,02060,1.26,0.18,0.18
2000,AK,02068,1.89,0.15,13.76
2000,AK,02070,4.92,0.37,0.37
2000,AK,02090,82.84,14.89,43.31
2000,AK,02100,2.39,0.03,0.57
2000,AK,02110,30.71,2.93,4.25
2000,AK,02122,49.69,7.8,8.67
2000,AK,02130,14.07,,6.67
2000,AK,02150,13.91,0.27,6.31
2000,AK,02164,1.82,0.13,0.47
2000,AK,02170,59.32,4.32,4.38
2000,AK,02180,9.2,0.6,0.94
2000,AK,02185,7.39,89.89,140.33
2000,AK,02188,7.21,0.05,7.13
2000,AK,02201,6.15,0.01,2.58
2000,AK,02220,8.84,,1.3
2000,AK,02232,3.44,0.61,1.28
2000,AK,02240,6.17,0.54,2.51
2000,AK,02261,10.2,3.01,4.48
2000,AK,02270,7.03,0.34,0.43
2000,AK,02280,6.68,0.05,1.45
2000,AK,02282,0.81,0.27,0.27
2000,AK,02290,6.55,0.24,3.17
2000,AZ,04001,69.42,27.19,47.63
2000,AZ,04003,117.76,231.31,233.27
2000,AZ,04005,116.32,22.57,52.68
2000,AZ,04007,51.34,13.27,14.78
2000,AZ,04009,33.49,128.3,172.21
2000,AZ,04011,8.55,25.16,33.34
2000,AZ,04012,19.72,289.39,879.01
2000,AZ,04013,3072.15,1219.82,2151.37
2000,AZ,04015,155.03,118.16,153.66
2000,AZ,04017,97.47,68.62,69.96
2000,AZ,04019,843.75,283.83,300.38
2000,AZ,04021,179.73,545.06,1052.44
2000,AZ,04023,38.38,21.77,22.66
2000,AZ,04025,167.52,70.85,82.4
2000,AZ,04027,160.03,364.22,1463.36
2000,AR,05001,20.75,630.34,1138.43
2000,AR,05003,24.21,109.1,151.94
2000,AR,05005,38.39,1.74,5.75
2000,AR,05007,153.41,1.4,373.85
2000,AR,05009,33.95,1.58,3.92
2000,AR,05011,12.6,1.68,2.75
2000,AR,05013,5.74,0.55,0.55
2000,AR,05015,25.36,1.43,5.4
2000,AR,05017,14.12,174.2,222.07
2000,AR,05019,23.55,0.4,3.57
2000,AR,05021,17.61,264.89,269.93
2000,AR,05023,24.05,0.07,7.19
2000,AR,05025,8.57,1.33,1.33
2000,AR,05027,25.6,2.83,4.3
2000,AR,05029,20.34,1.82,16.09
2000,AR,05031,82.15,352.54,391.89
2000,AR,05033,53.25,0.13,18.78
2000,AR,05035,50.87,130.14,132.75
2000,AR,05037,19.53,410.61,438.01
2000,AR,05039,9.21,1.08,1.08
2000,AR,05041,15.34,328.85,414.51
2000,AR,05043,18.72,55.49,64.01
2000,AR,05045,86.01,1.37,12.83
2000,AR,05047,17.77,0.02,2.74
2000,AR,05049,11.64,0.64,1.56
2000,AR,05051,88.07,1.0,17.28
2000,AR,05053,16.46,1.8,1.8
2000,AR,05055,37.33,159.43,165.09
2000,AR,05057,23.59,4.81,5.85
2000,AR,05059,30.35,0.53,414.87
2000,AR,05061,14.3,0.35,6.76
2000,AR,05063,34.23,35.36,78.93
2000,AR,05065,13.25,2.05,2.05
2000,AR,05067,18.42,364.5,386.17
2000,AR,05069,84.28,471.75,569.27
2000,AR,05071,22.78,0.98,5.85
2000,AR,05073,8.56,11.11,12.27
2000,AR,05075,17.77,296.58,325.41
2000,AR,05077,12.58,235.36,241.86
2000,AR,05079,14.49,169.06,189.52
2000,AR,05081,13.63,1.43,4.21
2000,AR,05083,22.49,1.01,4.45
2000,AR,05085,52.83,396.55,485.31
2000,AR,05087,14.24,0.92,1.82
2000,AR,05089,16.14,0.03,2.86
2000,AR,05091,40.44,6.73,90.35
2000,AR,05093,51.98,188.35,193.19
2000,AR,05095,10.25,235.51,255.51
2000,AR,05097,9.25,0.72,1.11
2000,AR,05099,9.96,0.59,1.35
2000,AR,05101,8.61,0.72,0.76
2000,AR,05103,28.79,2.48,68.07
2000,AR,05105,10.21,0.58,6.06
2000,AR,05107,26.45,205.79,468.93
2000,AR,05109,11.3,0.45,2.13
2000,AR,05111,25.61,585.15,665.82
2000,AR,05113,20.23,0.67,2.63
2000,AR,05115,54.47,2.07,999.03
2000,AR,05117,9.54,270.32,354.62
2000,AR,05119,361.47,26.55,107.11
2000,AR,05121,18.2,85.89,116.03
2000,AR,05123,29.33,252.96,264.13
2000,AR,05125,83.53,3.27,13.79
2000,AR,05127,11.0,0.59,2.33
2000,AR,05129,8.26,0.59,0.95
2000,AR,05131,115.07,0.1,30.19
2000,AR,05133,15.76,1.91,4.57
2000,AR,05135,17.12,1.45,2.23
2000,AR,05137,11.5,0.42,0.98
2000,AR,05139,45.63,17.83,17.83
2000,AR,05141,16.19,0.01,2.01
2000,AR,05143,157.72,1.29,27.68
2000,AR,05145,67.17,49.12,129.05
2000,AR,05147,8.74,352.93,432.61
2000,AR,05149,21.14,0.74,4.46
2000,CA,06001,1443.74,49.38,257.55
2000,CA,06003,1.21,3.53,15.13
2000,CA,06005,35.1,18.89,32.17
2000,CA,06007,203.17,337.06,1077.98
2000,CA,06009,40.55,3.83,17.24
2000,CA,06011,18.8,286.99,913.57
2000,CA,06013,948.82,39.3,1242.13
2000,CA,06015,27.51,10.86,21.82
2000,CA,06017,156.3,12.12,55.15
2000,CA,06019,799.41,1857.16,3744.99
2000,CA,06021,26.45,234.08,683.75
2000,CA,06023,126.52,59.1,152.83
2000,CA,06025,142.36,104.02,2886.61
2000,CA,06027,17.95,85.72,120.87
2000,CA,06029,661.65,1626.09,2884.94
2000,CA,06031,129.46,822.07,1536.09
2000,CA,06033,58.31,40.15,51.99
2000,CA,06035,33.83,193.17,485.3
2000,CA,06037,9519.34,862.11,5364.88
2000,CA,06039,123.11,319.2,993.38
2000,CA,06041,247.29,17.73,44.48
2000,CA,06043,17.13,3.21,6.43
2000,CA,06045,86.27,25.23,56.63
2000,CA,06047,210.55,638.98,1880.06
2000,CA,06049,9.45,81.61,240.54
2000,CA,06051,12.85,77.94,192.96
2000,CA,06053,401.76,800.72,1781.73
2000,CA,06055,124.28,20.9,81.07
2000,CA,06057,92.03,11.45,48.31
2000,CA,06059,2846.29,312.81,723.42
2000,CA,06061,248.4,37.6,189.0
2000,CA,06063,20.82,12.38,55.31
2000,CA,06065,1545.39,449.54,1688.12
2000,CA,06067,1223.5,303.41,783.34
2000,CA,06069,53.23,82.54,92.71
2000,CA,06071,1709.43,416.37,652.57
2000,CA,06073,2813.83,60.09,4393.87
2000,CA,06075,776.73,2.4,252.94
2000,CA,06077,563.6,775.72,1746.04
2000,CA,06079,246.68,187.54,3110.71
2000,CA,06081,707.16,13.23,102.86
2000,CA,06083,399.35,324.5,426.82
2000,CA,06085,1682.59,151.64,342.4
2000,CA,06087,255.6,60.63,78.28
2000,CA,06089,163.26,177.18,433.5
2000,CA,06091,3.56,6.64,44.43
2000,CA,06093,44.3,139.14,561.72
2000,CA,06095,394.54,119.63,517.72
2000,CA,06097,458.61,88.02,159.3
2000,CA,06099,447.0,634.89,1615.25
2000,CA,06101,78.93,258.43,922.21
2000,CA,06103,56.04,201.35,412.31
2000,CA,06105,13.02,12.72,44.83
2000,CA,06107,368.02,1302.74,2409.09
2000,CA,06109,54.5,4.55,32.76
2000,CA,06111,753.2,191.79,1110.6
2000,CA,06113,168.66,326.46,1028.1
2000,CA,06115,60.22,98.89,372.12
2000,CO,08001,363.86,27.04,133.59
2000,CO,08003,14.97,125.27,224.83
2000,CO,08005,487.97,15.81,111.99
2000,CO,08007,9.9,0.83,66.61
2000,CO,08009,4.52,111.58,111.58
2000,CO,08011,6.0,7.55,324.5
2000,CO,08013,291.29,5.85,182.02
2000,CO,08015,16.24,0.92,72.16
2000,CO,08017,2.23,29.4,32.58
2000,CO,08019,9.32,0.59,1.81
2000,CO,08021,8.4,34.7,254.02
2000,CO,08023,3.66,50.67,100.32
2000,CO,08025,5.52,0.97,97.95
2000,CO,08027,3.5,0.45,49.3
2000,CO,08029,27.83,4.68,678.54
2000,CO,08031,554.64,6.91,159.17
2000,CO,08033,1.84,1.82,54.64
2000,CO,08035,175.77,15.72,43.34
2000,CO,08037,41.66,2.41,140.59
2000,CO,08039,19.87,11.26,18.39
2000,CO,08041,516.93,16.88,138.49
2000,CO,08043,46.15,0.88,160.42
2000,CO,08045,43.79,4.73,420.8
2000,CO,08047,4.76,0.52,0.63
2000,CO,08049,12.44,1.06,110.39
2000,CO,08051,13.96,3.34,241.94
2000,CO,08053,0.79,0.12,9.71
2000,CO,08055,7.86,1.88,68.16
2000,CO,08057,1.58,0.08,322.82
2000,CO,08059,527.06,16.77,144.14
2000,CO,08061,1.62,26.61,28.75
